epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate
1,2.1075315268707278,24.94,1.5845823749542236,39.56,0.1
2,1.469248705368042,45.764,1.4111728290557861,48.47,0.09990133642141358
3,1.1643491663742065,57.992,1.0395801872253418,63.28,0.0996057350657239
4,0.942974517993927,66.586,0.9585601969718933,66.97,0.09911436253643444
5,0.8031841454696655,71.81,1.0350292950630189,66.49,0.09842915805643154
6,0.677598484249115,76.406,0.7197979303359985,75.98,0.09755282581475767
7,0.602288692035675,79.322,0.7526272591590881,74.25,0.09648882429441256
8,0.5604600849533081,80.872,0.594455374622345,80.35,0.09524135262330098
9,0.5147865958499909,82.26,0.7206915439605713,76.54,0.09381533400219318
10,0.4992926584625244,82.934,0.657081805229187,77.96,0.09221639627510075
11,0.4678526134490967,83.836,0.5976038665771485,80.4,0.09045084971874737
12,0.456284424571991,84.304,0.5883764278411865,80.27,0.08852566213878946
13,0.42844569828033446,85.32,0.5635538005828857,81.58,0.08644843137107057
14,0.4193791425704956,85.662,0.5028779098510742,83.4,0.08422735529643442
15,0.39378815388679506,86.462,0.48688732891082764,83.73,0.08187119948743447
16,0.3837073743534088,86.866,0.4777153895378113,83.77,0.07938926261462366
17,0.3690869138717651,87.388,0.6257991214752198,79.33,0.07679133974894982
18,0.35579077300071715,87.784,0.5650834549903869,81.33,0.07408768370508576
19,0.33814679050445556,88.368,0.45872202098369597,84.94,0.07128896457825362
20,0.32577825727462767,88.812,0.48245877685546873,84.06,0.06840622763423389
21,0.31661171897888185,89.192,0.4231660918712616,85.68,0.06545084971874736
22,0.30572906579971315,89.474,0.5379234435081482,82.89,0.06243449435824272
23,0.2921362860298157,90.074,0.38366430387496947,87.1,0.05936906572928623
24,0.27483286040306093,90.598,0.4262414680480957,85.69,0.056266661678215216
25,0.26671865904808045,90.758,0.39903509287834166,86.82,0.053139525976465665
26,0.25031395298957826,91.462,0.3456837919712067,88.55,0.049999999999999996
27,0.23765361555099487,91.85,0.3636888004779816,87.99,0.046860474023534326
28,0.21822078434467315,92.51,0.3834622697591782,87.95,0.04373333832178478
29,0.20487808537006377,92.998,0.3540562671661377,88.79,0.040630934270713764
30,0.19613021144866943,93.274,0.4034990357398987,87.77,0.03756550564175726
31,0.18057481265544892,93.864,0.35889665739536286,88.81,0.03454915028125265
32,0.16525372063159943,94.292,0.31179487528800964,90.0,0.03159377236576612
33,0.15367467908859253,94.658,0.3399317845582962,89.02,0.028711035421746366
34,0.13731476309776305,95.342,0.2866663476467133,90.69,0.025912316294914226
35,0.11851314225196838,95.886,0.2939834502220154,90.85,0.023208660251050155
36,0.1052509481024742,96.332,0.273707212638855,91.35,0.020610737385376346
37,0.09117010147094727,96.946,0.2868545893907547,91.38,0.01812880051256551
38,0.07319056687831879,97.514,0.2556612397670746,92.2,0.015772644703565562
39,0.059251937115192416,98.06,0.24422792756557465,92.76,0.013551568628929433
40,0.046774532592892645,98.496,0.2269311607837677,93.14,0.011474337861210542
41,0.03474830230474472,98.91,0.23159345870018005,93.54,0.009549150281252632
42,0.027746073834598064,99.162,0.23189370539188384,93.31,0.007783603724899257
43,0.021174389895796775,99.41,0.21598367953300476,93.91,0.0061846659978068205
44,0.015052297165095806,99.604,0.21571648406982422,94.05,0.004758647376699033
45,0.012888435340821743,99.688,0.2115355712890625,94.3,0.0035111757055874327
46,0.010549636866152286,99.756,0.20972668228149413,94.28,0.0024471741852423235
47,0.009027059042155743,99.816,0.20911322479248046,94.25,0.0015708419435684518
48,0.007408254152536392,99.864,0.20485844078063964,94.41,0.000885637463565564
49,0.007016223199367524,99.89,0.20508574233055116,94.42,0.00039426493427611173
50,0.00769024989336729,99.862,0.20751290469169617,94.37,9.866357858642205e-05
