method,auroc,fpr95
MSP,91.96918657805777,59.68423478795329
MLS,92.15629820989551,47.14582052858021
Energy,92.10651582667487,47.90642286416718
Optimal Shaping (MLS),88.42188421942225,59.081130915795946
Optimal Shaping (Energy),88.28026966810081,59.987707437000616
